Date,Open,High,Low,Close,Volume,Volume MA,K-line,D-line,Crossover,Crossunder
2020-03-12T16:00:00Z,252.79,252.88,251.77,251.77,441279,675744.35,NaN,NaN,NaN,NaN
2020-03-12T16:05:00Z,251.74,252.15,251.05,251.11,402542,645730.2,NaN,NaN,NaN,NaN
2020-03-12T16:10:00Z,251.1,251.48,250.36,251.22,629621,625561.45,NaN,NaN,NaN,NaN
2020-03-12T16:15:00Z,251.21,252.35,250.75,251.36,610557,600737.05,NaN,NaN,NaN,NaN
2020-03-12T16:20:00Z,251.3,253.74,251.22,253.56,696613,597990.9,NaN,NaN,NaN,NaN
2020-03-12T16:25:00Z,253.52,254.15,252.96,253.39,627882,595827.3,NaN,NaN,NaN,NaN
2020-03-12T16:30:00Z,253.37,253.37,251.8,251.85,432195,578096.8,NaN,NaN,NaN,NaN
2020-03-12T16:35:00Z,251.82,252.75,251.47,252.14,323328,561096.95,NaN,NaN,NaN,NaN
2020-03-12T16:40:00Z,252.1,252.15,250.8,251.14,434338,547693.65,NaN,NaN,NaN,NaN
2020-03-12T16:45:00Z,251.15,252.19,250.91,250.97,392879,534749.4,NaN,NaN,NaN,NaN
2020-03-12T16:50:00Z,250.96,257.43,250.93,255.85,1223464,568122.7,NaN,NaN,NaN,NaN
2020-03-12T16:55:00Z,255.83,262.22,255.42,260,2428973,648113.9,NaN,NaN,NaN,NaN
2020-03-12T17:00:00Z,259.99,264.95,257.86,264.35,2157228,732951.1,NaN,NaN,NaN,NaN
2020-03-12T17:05:00Z,264.38,266.65,261.84,263.49,2223694,818459.9,NaN,NaN,NaN,NaN
2020-03-12T17:10:00Z,263.43,264.03,257.2,259.36,1183843,843047.8,NaN,NaN,NaN,NaN
2020-03-12T17:15:00Z,259.35,260.23,257.89,259.15,615719,848183.8,NaN,NaN,NaN,NaN
2020-03-12T17:20:00Z,259.14,260,257.84,258.57,588072,855518.55,NaN,NaN,NaN,NaN
2020-03-12T17:25:00Z,258.56,259.31,257.22,258.59,630775,865081.1,NaN,NaN,NaN,NaN
2020-03-12T17:30:00Z,258.58,259.74,257.13,257.3,713143,868634.3,NaN,NaN,NaN,NaN
2020-03-12T17:35:00Z,257.29,257.39,253.76,253.8,1028002,889207.35,NaN,NaN,NaN,NaN
2020-03-12T17:40:00Z,253.82,254.92,253.2,254.46,631667,898726.75,NaN,NaN,NaN,NaN
2020-03-12T17:45:00Z,254.42,256.96,253.73,256.52,451746,901186.95,NaN,NaN,NaN,NaN
2020-03-12T17:50:00Z,256.52,257.57,255,255.42,404024,889907.1,NaN,NaN,NaN,NaN
2020-03-12T17:55:00Z,255.38,257.41,255.24,257.15,400028,879380.65,NaN,NaN,NaN,NaN
2020-03-12T18:00:00Z,257.1,258,254.46,256.2,512112,870155.6,NaN,NaN,NaN,NaN
2020-03-12T18:05:00Z,256.19,256.98,255,255.75,624203,869971.65,NaN,NaN,NaN,NaN
2020-03-12T18:10:00Z,255.75,256.19,253.65,254.25,756410,886182.4,NaN,NaN,NaN,NaN
2020-03-12T18:15:00Z,254.26,254.73,253.3,253.58,673240,903678,NaN,NaN,NaN,NaN
2020-03-12T18:20:00Z,253.57,254.15,252.6,252.86,443686,904145.4,NaN,NaN,NaN,NaN
2020-03-12T18:25:00Z,252.86,254.31,252.42,253.4,756848,922343.85,NaN,NaN,NaN,NaN
2020-03-12T18:30:00Z,253.4,253.81,252.61,252.85,403291,881335.2,NaN,NaN,NaN,NaN
2020-03-12T18:35:00Z,252.84,253.22,251.87,252.39,327515,776262.3,NaN,NaN,NaN,NaN
2020-03-12T18:40:00Z,252.35,253.33,252.04,252.76,294126,683107.2,NaN,NaN,NaN,NaN
2020-03-12T18:45:00Z,252.8,255.33,252.25,255.31,345900,589217.5,NaN,NaN,NaN,NaN
2020-03-12T18:50:00Z,255.33,255.93,253.16,253.46,359927,548021.7,NaN,NaN,NaN,NaN
2020-03-12T18:55:00Z,253.46,254,252.02,252.07,241125,529292,NaN,NaN,NaN,NaN
2020-03-12T19:00:00Z,252.1,252.85,252.02,252.18,313924,515584.6,NaN,NaN,NaN,NaN
2020-03-12T19:05:00Z,252.185,254.02,251.3,253.1,467285,507410.1,NaN,NaN,NaN,NaN
2020-03-12T19:10:00Z,253.09,255.14,252.86,252.92,614434,502474.65,NaN,NaN,NaN,NaN
2020-03-12T19:15:00Z,252.92,252.95,251.55,251.95,486824,475415.75,NaN,NaN,NaN,NaN
2020-03-12T19:20:00Z,251.96,252.38,250.84,251.49,507064,469185.6,NaN,NaN,NaN,NaN
2020-03-12T19:25:00Z,251.38,252.06,250.92,250.99,421853,467690.95,NaN,NaN,NaN,NaN
2020-03-12T19:30:00Z,250.98,252.33,250.66,250.91,539498,474464.65,NaN,NaN,NaN,NaN
2020-03-12T19:35:00Z,250.88,251.8,250.84,251.69,525294,480727.95,NaN,NaN,NaN,NaN
2020-03-12T19:40:00Z,251.67,253.59,251.335,251.84,809651,495604.9,NaN,NaN,NaN,NaN
2020-03-12T19:45:00Z,251.835,253.07,251.09,252.7,809677,504878.6,NaN,NaN,NaN,NaN
2020-03-12T19:50:00Z,252.69,254.98,252.34,252.42,1334851,533800.65,NaN,NaN,NaN,NaN
2020-03-12T19:55:00Z,252.38,252.47,247.68,248.09,2297942,615035.75,NaN,NaN,NaN,NaN
2020-03-13T13:30:00Z,263.09,264.11,261.2,261.31,1008650,643283.95,NaN,NaN,NaN,NaN
2020-03-13T13:35:00Z,261.28,261.93,259.08,259.12,912954,651089.25,NaN,NaN,NaN,NaN
2020-03-13T13:40:00Z,259.12,259.41,256.88,258.7,1337407,697795.05,NaN,NaN,NaN,NaN
2020-03-13T13:45:00Z,258.68,260.07,257.53,258.62,686477,715743.15,NaN,NaN,NaN,NaN
2020-03-13T13:50:00Z,258.64,258.64,255.71,255.73,558197,728946.7,NaN,NaN,NaN,NaN
2020-03-13T13:55:00Z,255.74,256.83,255.32,256.57,718575,747580.45,NaN,NaN,NaN,NaN
2020-03-13T14:00:00Z,256.55,258.4,255.65,257.97,452049,752186.55,NaN,NaN,NaN,NaN
2020-03-13T14:05:00Z,258.03,258.33,257.27,257.36,437606,762010.6,NaN,NaN,NaN,NaN
2020-03-13T14:10:00Z,257.34,258.32,256.7,257.38,499905,771309.65,NaN,NaN,NaN,NaN
2020-03-13T14:15:00Z,257.37,260.85,256.86,260.45,586498,777270.3,NaN,NaN,NaN,NaN
2020-03-13T14:20:00Z,260.52,261.54,259.91,260.64,619413,777519.25,NaN,NaN,NaN,NaN
2020-03-13T14:25:00Z,260.66,261.36,259,259.3,569650,781660.55,NaN,NaN,NaN,NaN
2020-03-13T14:30:00Z,259.26,259.78,258.345,258.74,459919,779303.3,NaN,NaN,NaN,NaN
2020-03-13T14:35:00Z,258.72,258.81,257.55,258.06,345286,775474.95,NaN,NaN,NaN,NaN
2020-03-13T14:40:00Z,258.07,258.19,256.6,257.02,393833,768191.7,NaN,NaN,NaN,NaN
2020-03-13T14:45:00Z,256.95,257.58,256.45,256.67,322296,758041.8,NaN,NaN,NaN,NaN
2020-03-13T14:50:00Z,256.67,257.22,256.29,256.38,229261,729022.3,NaN,NaN,NaN,NaN
2020-03-13T14:55:00Z,256.38,256.6,254.21,254.43,307581,703917.5,NaN,NaN,NaN,NaN
2020-03-13T15:00:00Z,254.45,256.48,254.42,255.93,283913,651370.6,NaN,NaN,NaN,NaN
2020-03-13T15:05:00Z,255.91,256.58,255.42,256.48,240665,548506.75,NaN,NaN,NaN,NaN
2020-03-13T15:10:00Z,256.5,257.1,255.08,256.77,385654,517356.95,NaN,NaN,NaN,NaN
2020-03-13T15:15:00Z,256.78,256.88,254.73,255.45,423606,492889.55,NaN,NaN,NaN,NaN
2020-03-13T15:20:00Z,255.43,256.3,254.51,254.66,413642,446701.3,NaN,NaN,NaN,NaN
